ردیف	پرسش	گزینه الف	گزینه ب	گزینه ج
1	مساحت کل سایت استقرار چقدر است؟	کوچک (<۱ هکتار) | برد انتقال −1، بودجه پیوند −1 | (برد و پیوند اهمیت کمتر)	متوسط (۱–۱۰ هکتار) | بدون اثر | (بدون تغییر وزن)	بزرگ (>۱۰ هکتار) | برد انتقال +1، بودجه پیوند +1 | (برد و پیوند اهمیت بیشتر)
2	شکل و توپوگرافی زمین چگونه است؟	مسطح | بودجه پیوند −1 | (پیوند اهمیت کمتر)	کمی شیب‌دار | بودجه پیوند +1 | (پیوند اهمیت بیشتر)	کوهستانی / ناهموار | بودجه پیوند +1 | (پیوند اهمیت بیشتر)
3	چند مانع فیزیکی در محدوده وجود دارد؟	کم (منطقه باز) | بودجه پیوند −1 | (پیوند اهمیت کمتر)	متوسط | بودجه پیوند +1 | (پیوند اهمیت بیشتر)	زیاد (موانع متراکم) | بودجه پیوند +1 | (پیوند اهمیت بیشتر)
4	دسترسی به برق چگونه است؟	برق شهری کامل | مصرف انرژی −1 | (انرژی اهمیت کمتر)	برق محدود | مصرف انرژی +1 | (انرژی اهمیت بیشتر)	باتری / خورشیدی | مصرف انرژی +1 | (انرژی اهمیت بیشتر)
5	نصب دروازه یا اینترنت در محل چقدر آسان است؟	آسان | هزینه سرمایه‌ای −1، هزینه عملیاتی سالانه −1، پشتیبانی سلولی −1 | (هزینه و سلولی اهمیت کمتر)	با محدودیت | هزینه سرمایه‌ای +1 | (سرمایه‌ای اهمیت بیشتر)	بسیار دشوار | هزینه سرمایه‌ای +1، هزینه عملیاتی سالانه +1، پشتیبانی سلولی +1 | (هزینه و سلولی اهمیت بیشتر)
6	پوشش شبکه سلولی چگونه است؟	پوشش خوب | پشتیبانی سلولی −1 | (سلولی اهمیت کمتر)	پوشش متوسط | پشتیبانی سلولی +1 | (سلولی اهمیت بیشتر)	پوشش ضعیف | پشتیبانی سلولی −1 | (سلولی اهمیت کمتر)
7	تعداد گره‌های حسگر چقدر است؟	کم (۱–۱۰) | هزینه سرمایه‌ای −1 | (سرمایه‌ای اهمیت کمتر)	متوسط (۱۱–۱۰۰) | بدون اثر | (بدون تغییر وزن)	زیاد (>۱۰۰) | هزینه سرمایه‌ای +1، هزینه عملیاتی سالانه +1 | (سرمایه‌ای و عملیاتی اهمیت بیشتر)
8	میانگین فاصله بین گره‌ها چقدر است؟	<۵۰ متر | برد انتقال −1 | (برد اهمیت کمتر)	۵۰–۵۰۰ متر | بدون اثر | (بدون تغییر وزن)	>۵۰۰ متر | برد انتقال +1، بودجه پیوند +1 | (برد و پیوند اهمیت بیشتر)
9	حجم داده و فراوانی ارسال چگونه است؟	کم | نرخ داده −1، تأخیر داده −1 | (داده و تأخیر اهمیت کمتر)	متوسط | بدون اثر | (بدون تغییر وزن)	زیاد | نرخ داده +1، تأخیر داده +1، مصرف انرژی +1 | (داده، تأخیر و انرژی اهمیت بیشتر)
10	بودجه سرمایه‌ای سخت‌افزار چقدر است؟	محدود | هزینه سرمایه‌ای +1 | (سرمایه‌ای اهمیت بیشتر)	متوسط | بدون اثر | (بدون تغییر وزن)	منعطف | هزینه سرمایه‌ای −1 | (سرمایه‌ای اهمیت کمتر)
11	تحمل هزینه عملیاتی سالانه چقدر است؟	بسیار محدود | هزینه عملیاتی سالانه +1 | (عملیاتی اهمیت بیشتر)	متوسط | بدون اثر | (بدون تغییر وزن)	منعطف | هزینه عملیاتی سالانه −1 | (عملیاتی اهمیت کمتر)
12	عمر باتری مورد نیاز چقدر است؟	<۱ سال | مصرف انرژی −1 | (انرژی اهمیت کمتر)	۱–۳ سال | بدون اثر | (بدون تغییر وزن)	>۳ سال | مصرف انرژی +1 | (انرژی اهمیت بیشتر)
13	سرعت تحویل داده چقدر است؟	غیربلادرنگ | تأخیر داده −1 | (تأخیر اهمیت کمتر)	نزدیک بلادرنگ | تأخیر داده +1 | (تأخیر اهمیت بیشتر)	کاملاً بلادرنگ | تأخیر داده +1 | (تأخیر اهمیت بیشتر)
