پرسش	پاسخ کاربر	معیار تحت تأثیر	اثر قاعده	تفسیر
مساحت کل سایت استقرار چقدر است؟	کوچک (کمتر از ۱ هکتار)	برد انتقال	−۱	پوشش وسیع ارتباطی در اولویت طراحی شبکه نیست.
مساحت کل سایت استقرار چقدر است؟	کوچک (کمتر از ۱ هکتار)	بودجه پیوند	−۱	نیازی به توان پیوند بالا برای غلبه بر فواصل طولانی نیست.
مساحت کل سایت استقرار چقدر است؟	بزرگ (بیش از ۱۰ هکتار)	برد انتقال	+۱	پوشش گسترده‌تر محل استقرار، اهمیت برد انتقال بالاتر را افزایش می‌دهد.
مساحت کل سایت استقرار چقدر است؟	بزرگ (بیش از ۱۰ هکتار)	بودجه پیوند	+۱	فواصل بیشتر بین نقاط، نیاز به بودجه پیوند قوی‌تر را برجسته می‌کند.
شکل و گستره محیط چگونه است؟	کوچک و متمرکز	برد انتقال	−۱	در محیط متمرکز، برد زیاد اولویت اصلی انتخاب فناوری نیست.
منبع تغذیه گره‌ها چیست؟	باتری محدود	مصرف انرژی	+۱	فناوری‌های کم‌مصرف اهمیت بیشتری در انتخاب پیدا می‌کنند.
منبع تغذیه گره‌ها چیست؟	برق شهری پایدار	مصرف انرژی	−۱	با دسترسی پایدار به برق، محدودیت انرژی اهمیت کمتری می‌یابد.
محدودیت بودجه چگونه است؟	بودجه سخت‌افزار محدود	هزینه سرمایه‌ای سخت‌افزار	+۱	هزینه اولیه سخت‌افزار باید در وزن‌دهی اهمیت بیشتری بگیرد.
هزینه اتصال سالانه چقدر مهم است؟	بسیار مهم	هزینه عملیاتی سالانه اتصال	+۱	فناوری با هزینه اشتراک و اتصال پایین‌تر مطلوب‌تر است.
آیا ارتباط بلادرنگ لازم است؟	بله	تأخیر انتقال داده	+۱	تأخیر کم در انتقال داده اهمیت بیشتری در انتخاب فناوری دارد.
آیا پوشش اپراتوری قابل اتکا وجود دارد؟	بله	پشتیبانی شبکه سلولی	−۱	با پوشش مناسب اپراتور، وابستگی تصمیم به این معیار کاهش می‌یابد.
آیا داده حجیم ارسال می‌شود؟	بله	نرخ داده	+۱	فناوری‌های با ظرفیت انتقال بالاتر برای این سناریو مناسب‌ترند.
